,X1,X2,X3,X4,X5
D1,1360.0,150,1045.5,1056.25,1692.0
D2,1292.25,112,954.75,1173.75,1558.75
D3,1402.0,88,939.25,1140.0,1554.5
D4,1375.5,80,948.25,1092.0,1583.75
D5,1272.25,51,835.5,1205.0,1490.0
D6,1197.0,38,750.25,1336.5,1393.0
D7,847.25,7,501.25,1894.5,1154.75
D8,1136.25,31,672.0,1453.25,1332.75
D9,1051.75,16,553.25,1738.25,1221.25
D10,1144.0,29,667.0,1489.75,1339.0
D11,1011.0,14,526.75,1817.5,1196.75
D12,1094.0,24,608.5,1579.0,1276.0
D13,1009.75,19,560.75,1705.0,1234.75
D14,1333.25,64,899.75,1136.0,1517.0
D15,1351.0,87,960.25,1079.0,1582.75
D16,1233.25,77,827.25,1218.0,1445.75
D17,1178.75,43,762.0,1327.5,1361.75
D18,1236.0,61,774.25,1301.25,1401.25
D19,1285.5,63,868.5,1162.25,1536.75
D20,1371.0,164,1033.5,983.25,1730.25
D21,1291.75,95,911.5,1102.5,1590.75
D22,1383.0,150,1019.75,1008.0,1718.75
D23,1233.25,170,927.25,1118.0,1545.75
D24,1312.75,197,1076.25,957.25,1706.5
D25,964.5,61,748.5,1325.25,1332.5
D26,912.75,26,629.25,1564.5,1252.25
D27,1080.25,55,805.0,1253.5,1375.0
D28,1043.75,53,829.0,1247.25,1378.25
D29,987.75,40,718.0,1395.5,1303.5
D30,927.0,17,571.25,1684.75,1222.75
D31,1090.5,33,730.25,1387.0,1360.75
D32,847.25,7,501.25,1894.5,1154.75
D33,888.75,21,574.25,1680.25,1187.0
D43,831.0,10,505.75,1892.75,1133.75
